file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"getIntersection/2[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.ICompilationUnit[],org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.ICompilationUnit[]]",false,1071,1,1,1,0,1,2,6,1,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,10,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"addReferenceUpdates/2[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.TextChangeManager,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IProgressMonitor]",false,1265,6,2,1,1,4,9,17,0,7,2,9,0,0,2,1,0,0,1,3,7,0,2,0,0,0,22,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,computeQualifiedNameMatches/1[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IProgressMonitor],false,1285,5,4,1,3,2,7,7,0,1,1,7,0,0,0,1,0,0,1,0,2,1,1,0,0,0,18,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,checkNewPathValidity/0,false,789,5,4,2,2,3,11,13,3,3,0,11,1,1,0,2,0,0,2,0,4,2,1,0,0,0,16,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,checkTypesInCompilationUnit/0,false,914,4,3,1,2,3,11,11,1,3,0,11,1,1,0,0,0,0,0,0,3,0,2,0,0,0,18,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,canEnableQualifiedNameUpdating/0,false,370,1,1,1,0,1,3,3,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,setUpdateSimilarDeclarations/1[boolean],false,412,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,getChangedFiles/0,false,326,3,2,0,2,3,11,11,1,1,0,11,1,3,0,1,0,0,0,0,1,0,1,0,0,0,16,4,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,isPrimaryType/0,false,264,0,3,3,0,1,5,5,1,2,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,getUpdateTextualMatches/0,false,346,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,getUpdateSimilarDeclarations/0,false,417,0,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,checkEnclosingTypes/0,false,844,4,4,1,3,2,8,8,2,2,0,8,2,1,0,1,0,0,0,0,2,0,1,0,0,0,11,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,getRefactoredJavaElement/1[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IJavaElement],false,456,6,5,1,4,5,6,13,3,2,1,6,2,2,0,0,0,0,0,0,2,0,2,0,0,0,17,1,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"createLocalRenameProcessor/3[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.ILocalVariable,java.lang.String,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.CompilationUnit]",false,1776,4,5,1,4,1,3,6,1,1,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,15,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"analyzeImportedTypes/3[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IType[],org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RefactoringStatus,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IImportDeclaration]",false,973,6,4,1,3,4,11,8,0,2,3,11,1,1,1,0,0,0,0,1,2,0,2,0,0,0,14,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,checkInitialConditions/1[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IProgressMonitor],false,470,4,1,0,1,3,9,10,2,3,1,9,0,0,0,1,0,0,0,0,4,0,1,0,0,0,18,1,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,addWarnings/1[java.util.Set<org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor.Warning>],false,1664,4,5,1,4,5,11,19,1,7,1,11,0,0,2,0,0,0,0,5,7,0,2,0,0,0,12,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,getUpdateQualifiedNames/0,false,375,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,checkTypesImportedInCu/0,false,810,6,4,1,3,3,11,12,3,3,0,11,2,1,0,1,0,0,0,0,3,0,1,0,0,0,25,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,getCurrentElementQualifier/0,false,278,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,initialize/1[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.JavaRefactoringArguments],false,1294,6,3,1,2,15,15,67,10,9,1,15,1,1,0,10,1,0,2,0,16,0,2,0,0,0,61,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,getCurrentElementName/0,false,273,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,createParticipantDescriptorFilter/0,false,318,3,3,1,2,2,1,6,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,10,4,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,createNewPath/1[java.lang.String],false,806,0,1,1,0,1,6,3,1,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,getNewCompilationUnit/0,false,301,4,6,4,2,2,5,11,2,3,0,5,1,1,0,0,0,0,0,0,3,0,1,0,0,0,16,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,checkTypesInPackage/0,false,826,5,4,1,3,3,9,8,2,2,0,9,1,1,0,1,0,0,0,0,2,0,1,0,0,0,17,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,checkNewElementName/1[java.lang.String],false,283,1,2,2,0,2,4,8,1,1,1,4,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8,1,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,getIdentifier/0,false,225,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"createVirtualMethodRenameProcessor/4[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IMethod,java.lang.String,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IMethod[],org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.ITypeHierarchy]",false,1749,5,3,1,2,1,1,5,1,1,4,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,9,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"initMethodProcessor/2[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameMethodProcessor,java.lang.String]",false,1761,3,5,2,3,1,3,4,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,isApplicable/0,false,230,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"addMethodRename/3[java.lang.String,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenamingNameSuggestor,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IMethod]",false,779,3,2,1,1,3,5,8,0,1,3,5,0,0,0,1,0,0,0,0,1,0,2,0,0,0,11,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"RenameTypeProcessor/2[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.JavaRefactoringArguments,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RefactoringStatus]",true,215,3,1,0,1,1,2,4,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"postCreateChange/2[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.Change[],org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IProgressMonitor]",false,1169,4,3,1,2,2,2,13,2,0,2,2,0,0,0,1,1,0,0,0,1,0,2,0,0,0,14,1,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,resetSelectedSimilarElements/0,false,1860,1,0,0,0,2,7,8,0,2,0,7,0,0,1,0,0,0,0,0,2,0,1,0,0,0,31,1,0,true
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"initializeSimilarElementsRenameProcessors/2[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IProgressMonitor,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.CheckConditionsContext]",false,1367,20,13,1,12,23,42,115,7,21,2,42,8,7,2,2,0,1,1,7,31,1,4,0,0,0,84,2,0,true
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"findEnclosingType/2[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IType,java.lang.String]",false,868,1,1,1,0,3,3,12,2,1,2,3,0,0,1,1,0,0,0,0,2,0,2,0,0,0,8,10,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"isInDeclaredType/2[int,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IJavaElement]",false,765,5,1,1,0,5,2,13,2,1,2,2,0,0,0,1,0,3,0,1,3,0,2,0,0,0,48,2,0,true
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,hasSimilarElementsToRename/0,false,1873,0,0,0,0,4,1,12,4,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,29,1,0,true
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"sameParams/2[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IMethod,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IMethod]",false,1607,1,1,1,0,4,5,15,3,5,2,5,0,0,1,1,0,0,0,1,5,0,2,0,0,0,12,10,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,analyseEnclosedTypes/0,false,927,5,1,1,0,1,4,39,1,3,0,4,0,0,0,0,0,0,0,0,3,0,0,1,0,0,37,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"findEnclosedType/2[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IType,java.lang.String]",false,858,2,3,2,1,4,4,9,2,2,2,4,1,0,1,1,0,0,0,1,2,0,2,0,0,0,12,10,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,getSimilarElementsToNewNames/0,false,1841,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,true
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"createFieldRenameProcessor/2[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IField,java.lang.String]",false,1766,3,8,1,7,1,6,9,1,1,2,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,12,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,getSaveMode/0,false,1890,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,false
